date	company	url	title	result
2026-04-25	Anduril	https://boards-api.greenhouse.io/v1/boards/andurilindustries/jobs	(board scan)	api_403 — dedup: no_match_grad (rising senior req; confirmed 2026-04-22)
2026-04-25	Shield AI	https://boards-api.greenhouse.io/v1/boards/shieldai/jobs	(board scan)	api_403 — dedup: no_match_grad (Dec2026-Spring2027 req; confirmed 2026-04-22)
2026-04-25	Tempus	https://boards-api.greenhouse.io/v1/boards/tempus/jobs	(board scan)	api_403 — dedup: no_match_grad (graduating Summer2026 req; confirmed 2026-04-22)
2026-04-25	Recursion	https://boards-api.greenhouse.io/v1/boards/recursion/jobs	(board scan)	api_403 — dedup_020 (already evaluated; confirmed 2026-04-22)
2026-04-25	insitro	https://boards-api.greenhouse.io/v1/boards/insitro/jobs	(board scan)	api_403 — dedup_057 (already evaluated; confirmed 2026-04-22)
2026-04-25	Cruise	https://boards-api.greenhouse.io/v1/boards/cruise/jobs	(board scan)	api_403 — no_interns_confirmed (confirmed 2026-04-16)
2026-04-25	Nuro	https://boards-api.greenhouse.io/v1/boards/nuro/jobs	(board scan)	api_403 — dedup_023 (already evaluated; confirmed 2026-04-22)
2026-04-25	Aurora	https://boards-api.greenhouse.io/v1/boards/auroradriver/jobs	(board scan)	api_403 — dedup_028 (already evaluated; confirmed 2026-04-22)
2026-04-25	Duolingo	https://boards-api.greenhouse.io/v1/boards/duolingo/jobs	(board scan)	api_403 — no_match_grad_deadline_past (confirmed 2026-04-22)
2026-04-25	Toast	https://boards-api.greenhouse.io/v1/boards/toast/jobs	(board scan)	api_403 — no_interns_2026 (confirmed 2026-04-22)
2026-04-25	Gusto	https://boards-api.greenhouse.io/v1/boards/gusto/jobs	(board scan)	api_403 — dedup_054 (already evaluated; confirmed 2026-04-22)
2026-04-25	Glean	https://boards-api.greenhouse.io/v1/boards/gleanwork/jobs	(board scan)	api_403 — no_match_grad (Fall2026/Spring2027 req; confirmed 2026-04-22)
2026-04-25	Sigma Computing	https://boards-api.greenhouse.io/v1/boards/sigmacomputing/jobs	(board scan)	api_403 — dedup_008 (SWE intern already eval'd); AI/ML grad intern: no_match_degree (confirmed 2026-04-22)
